[2026-04-19T16:17:00.720Z] GET http://localhost:8765/package-02.html → 200 (10ms, 12519B)
[2026-04-19T16:17:00.738Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → pending (?ms, ?B)
[2026-04-19T16:17:00.738Z] GET https://cdn.tailwindcss.com/ → 302 (127ms, ?B)
[2026-04-19T16:17:00.865Z] GET https://cdn.tailwindcss.com/3.4.17 → pending (?ms, ?B)
[2026-04-19T16:17:01.019Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (84ms, 38460B)
[2026-04-19T16:17:01.020Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (100ms, 48432B)
[2026-04-19T16:17:01.020Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (99ms, 38888B)
[2026-04-19T16:18:30.217Z] GET http://localhost:8765/ → 200 (2ms, 42357B)
[2026-04-19T16:18:30.222Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T16:18:30.222Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T16:18:30.222Z] GET http://localhost:8765/headshot.jpg → 200 (1ms, 19299B)
[2026-04-19T16:18:30.275Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-04-19T16:18:30.276Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
[2026-04-19T16:18:30.276Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-19T16:20:30.829Z] GET http://localhost:8765/ → 200 (1ms, 42357B)
[2026-04-19T16:20:30.833Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T16:20:30.833Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T16:20:30.833Z] GET http://localhost:8765/headshot.jpg → 200 (?ms, 19299B)
[2026-04-19T16:20:30.868Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-19T16:20:30.868Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
[2026-04-19T16:20:30.868Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-19T16:23:20.307Z] GET http://localhost:8765/ → 200 (1ms, 42342B)
[2026-04-19T16:23:20.310Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (1ms, 18356B)
[2026-04-19T16:23:20.311Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T16:23:20.311Z] GET http://localhost:8765/headshot.jpg → 200 (?ms, 19299B)
[2026-04-19T16:23:20.342Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-04-19T16:23:20.343Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
[2026-04-19T16:23:20.343Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (1ms, ?B)
[2026-04-19T16:41:05.439Z] GET http://localhost:8765/package-03.html → 200 (3ms, 14135B)
[2026-04-19T16:41:05.445Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T16:41:05.445Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T16:41:05.478Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-04-19T16:41:05.479Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
